"date","AAPL","MSFT","AMZN"
2022-10-11,138.979995727539,225.410003662109,112.209999084473
2022-10-12,138.339996337891,225.75,112.900001525879
2022-10-13,142.990005493164,234.240005493164,112.529998779297
2022-10-14,138.380004882812,228.559997558594,106.900001525879
2022-10-17,142.410003662109,237.529998779297,113.790000915527
2022-10-18,143.75,238.5,116.360000610352
2022-10-19,143.860000610352,236.479995727539,115.069999694824
2022-10-20,143.389999389648,236.149993896484,115.25
2022-10-21,147.270004272461,242.119995117188,119.319999694824
2022-10-24,149.449996948242,247.25,119.819999694824
2022-10-25,152.339996337891,250.660003662109,120.599998474121
2022-10-26,149.350006103516,231.320007324219,115.660003662109
2022-10-27,144.800003051758,226.75,110.959999084473
2022-10-28,155.740005493164,235.869995117188,103.410003662109
2022-10-31,153.339996337891,232.130004882812,102.440002441406
2022-11-01,150.649993896484,228.169998168945,96.7900009155273
2022-11-02,145.029998779297,220.100006103516,92.120002746582
2022-11-03,138.880004882812,214.25,89.3000030517578
2022-11-04,138.380004882812,221.389999389648,90.9800033569336
2022-11-07,138.919998168945,227.869995117188,90.5299987792969
2022-11-08,139.5,228.869995117188,89.9800033569336
2022-11-09,134.869995117188,224.509994506836,86.1399993896484
2022-11-10,146.869995117188,242.979995727539,96.629997253418
2022-11-11,149.699996948242,247.110000610352,100.790000915527
2022-11-14,148.279998779297,241.550003051758,98.4899978637695
2022-11-15,150.039993286133,241.970001220703,98.9400024414062
2022-11-16,148.789993286133,241.729995727539,97.120002746582
2022-11-17,150.720001220703,241.679992675781,94.8499984741211
2022-11-18,151.289993286133,241.220001220703,94.1399993896484
2022-11-21,148.009994506836,242.050003051758,92.4599990844727
2022-11-22,150.179992675781,245.029998779297,93.1999969482422
2022-11-23,151.070007324219,247.580001831055,94.129997253418
2022-11-25,148.110000610352,247.490005493164,93.4100036621094
2022-11-28,144.220001220703,241.759994506836,93.9499969482422
2022-11-29,141.169998168945,240.330001831055,92.4199981689453
2022-11-30,148.029998779297,255.139999389648,96.5400009155273
2022-12-01,148.309997558594,254.690002441406,95.5
2022-12-02,147.809997558594,255.020004272461,94.129997253418
2022-12-05,146.630004882812,250.199996948242,91.0100021362305
2022-12-06,142.910003662109,245.119995117188,88.25
2022-12-07,140.940002441406,244.369995117188,88.4599990844727
2022-12-08,142.649993896484,247.399993896484,90.3499984741211
2022-12-09,142.160003662109,245.419998168945,89.0899963378906
2022-12-12,144.490005493164,252.509994506836,90.5500030517578
2022-12-13,145.470001220703,256.920013427734,92.4899978637695
2022-12-14,143.210006713867,257.220001220703,91.5800018310547
2022-12-15,136.5,249.009994506836,88.4499969482422
2022-12-16,134.509994506836,244.690002441406,87.8600006103516
2022-12-19,132.369995117188,240.449996948242,84.9199981689453
2022-12-20,132.300003051758,241.800003051758,85.1900024414062
2022-12-21,135.449996948242,244.429992675781,86.7699966430664
2022-12-22,132.229995727539,238.190002441406,83.7900009155273
2022-12-23,131.860000610352,238.729995727539,85.25
2022-12-27,130.029998779297,236.960006713867,83.0400009155273
2022-12-28,126.040000915527,234.529998779297,81.8199996948242
2022-12-29,129.610000610352,241.009994506836,84.1800003051758
2022-12-30,129.929992675781,239.820007324219,84
2023-01-03,125.069999694824,239.580001831055,85.8199996948242
2023-01-04,126.360000610352,229.100006103516,85.1399993896484
2023-01-05,125.019996643066,222.309997558594,83.120002746582
2023-01-06,129.619995117188,224.929992675781,86.0800018310547
2023-01-09,130.149993896484,227.119995117188,87.3600006103516
2023-01-10,130.729995727539,228.850006103516,89.870002746582
2023-01-11,133.490005493164,235.770004272461,95.0899963378906
2023-01-12,133.410003662109,238.509994506836,95.2699966430664
2023-01-13,134.759994506836,239.229995727539,98.120002746582
2023-01-17,135.940002441406,240.350006103516,96.0500030517578
2023-01-18,135.210006713867,235.809997558594,95.4599990844727
2023-01-19,135.270004272461,231.929992675781,93.6800003051758
2023-01-20,137.869995117188,240.220001220703,97.25
2023-01-23,141.110000610352,242.580001831055,97.5199966430664
2023-01-24,142.529998779297,242.039993286133,96.3199996948242
2023-01-25,141.860000610352,240.610000610352,97.1800003051758
2023-01-26,143.960006713867,248,99.2200012207031
2023-01-27,145.929992675781,248.160003662109,102.23999786377
2023-01-30,143,242.710006713867,100.550003051758
2023-01-31,144.289993286133,247.809997558594,103.129997253418
2023-02-01,145.429992675781,252.75,105.150001525879
2023-02-02,150.820007324219,264.600006103516,112.910003662109
2023-02-03,154.5,258.350006103516,103.389999389648
2023-02-06,151.729995727539,256.769989013672,102.180000305176
2023-02-07,154.649993896484,267.559997558594,102.110000610352
2023-02-08,151.919998168945,266.730010986328,100.050003051758
2023-02-09,150.869995117188,263.619995117188,98.2399978637695
2023-02-10,151.009994506836,263.100006103516,97.6100006103516
2023-02-13,153.850006103516,271.320007324219,99.5400009155273
2023-02-14,153.199996948242,272.170013427734,99.6999969482422
2023-02-15,155.330001831055,269.320007324219,101.160003662109
2023-02-16,153.710006713867,262.149993896484,98.1500015258789
2023-02-17,152.550003051758,258.059997558594,97.1999969482422
2023-02-21,148.479995727539,252.669998168945,94.5800018310547
2023-02-22,148.910003662109,251.509994506836,95.7900009155273
2023-02-23,149.399993896484,254.770004272461,95.8199996948242
2023-02-24,146.710006713867,249.220001220703,93.5
2023-02-27,147.919998168945,250.160003662109,93.7600021362305
2023-02-28,147.410003662109,249.419998168945,94.2300033569336
2023-03-01,145.309997558594,246.270004272461,92.1699981689453
2023-03-02,145.910003662109,251.110000610352,92.129997253418
2023-03-03,151.029998779297,255.289993286133,94.9000015258789
2023-03-06,153.830001831055,256.869995117188,93.75
